"last_name, first_name","player_id","year","pa","k_percent","bb_percent","xba","xslg","woba","xwoba","xobp","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","whiff_percent","swing_percent"
"Hoskins, Rhys",656555,2024,517,28.8,10.3,".202",".387",".313",".301",".295",29.7,12.7,42.2,"99.737434248","94.057895065",26.3,42.8
"Schanuel, Nolan",694384,2024,607,17,11.2,".254",".355",".315",".318",".348",36.4,3.5,25.4,"95.305191333","91.662606993",14.4,41.8
"Duran, Jarren",680776,2024,735,21.8,7.3,".271",".448",".357",".338",".330",33.8,9.3,43.9,"101.928155512","95.341113209",24.8,48.3
"Henderson, Gunnar",683002,2024,719,22.1,10.8,".283",".492",".381",".374",".368",34.5,11.2,53.9,"104.002332911","96.835723291",24.4,44.2
"Smith, Will",669257,2024,544,19.3,9.4,".240",".443",".326",".331",".323",38.3,10.8,42,"99.318269153","93.929159392",20.9,46.2
"Rooker Jr., Brent",667670,2024,614,28.8,9.6,".266",".557",".392",".380",".341",38.3,16.6,49.6,"103.25238457","96.193453235",34.1,50.2
"Witt Jr., Bobby",677951,2024,709,15,8,".315",".577",".410",".407",".378",35.7,14.3,48.3,"103.972880446","96.499868141",22.3,51.2
"Giménez, Andrés",665926,2024,633,15.3,4.1,".262",".355",".281",".296",".310",32.7,2.8,28.5,"96.492499139","92.262342361",22.8,56.4
"Bohm, Alec",664761,2024,606,14.2,6.6,".288",".444",".335",".342",".342",35.2,6.8,45.6,"100.768220847","94.781662669",17.6,49.7
"Gelof, Zack",680869,2024,547,34.4,6.9,".199",".347",".276",".271",".262",34.4,8.8,37.2,"98.970921935","93.611147032",36.4,51.5
"Winn, Masyn",691026,2024,637,17.1,6.4,".256",".358",".315",".293",".305",33.5,3.7,32.7,"98.144268452","93.085870398",19,47
"Ohtani, Shohei",660271,2024,731,22.2,11.1,".314",".660",".431",".442",".396",37.8,21.5,60.1,"106.727792385","98.772122364",29.8,47.3
"De La Cruz, Bryan",650559,2024,622,27.3,4.7,".242",".419",".283",".302",".280",35.6,9.3,41.3,"99.848652919","94.22196445",30.1,53.4
"Nimmo, Brandon",607043,2024,663,23.8,11.6,".244",".408",".321",".335",".346",33.7,9.1,47.4,"101.264982933","95.221659687",23.4,44.8
"Rutschman, Adley",668939,2024,638,16.1,9.1,".255",".393",".309",".315",".325",35.4,6.1,36.6,"98.081119454","93.149039684",17.1,44.5
"Young, Jacob",696285,2024,521,19.6,5.8,".253",".317",".290",".286",".314",28.1,1.6,28.9,"96.872142235","92.486924676",19.3,44.9
"Santana, Carlos",467793,2024,594,16.7,10.9,".246",".415",".326",".330",".336",30.9,7.3,39.9,"99.506124387","94.004167778",23.3,43.3
"Merrill, Jackson",701538,2024,593,17,4.9,".300",".531",".352",".369",".334",39.6,11.3,43.9,"100.811784978","94.735707484",20.5,56.9
"Tovar, Ezequiel",678662,2024,695,28.8,3.3,".233",".401",".324",".289",".264",38.5,9,39.8,"99.306485852","93.964016332",33.5,62.3
"Carroll, Corbin",682998,2024,684,19,10.7,".241",".391",".325",".324",".334",27.8,7.2,40.8,"101.055665665","94.755672366",20.3,41.4
"O'Hoppe, Logan",681351,2024,522,29.7,6.3,".251",".454",".311",".331",".310",42.9,12,46.3,"101.233350982","95.0870388",33.6,52
"Arraez, Luis",650333,2024,672,4.3,3.6,".310",".400",".323",".325",".343",40.9,1.6,23.7,"94.838000362","91.449624457",6.9,49.8
"Morel, Christopher",666624,2024,611,26,10,".225",".399",".280",".316",".316",27.6,10.2,40.4,"101.221222105","94.784090605",34.1,47
"India, Jonathan",663697,2024,637,19.6,12.6,".266",".412",".333",".352",".376",39.3,7.7,36.5,"98.90319256","93.547150797",19.2,38.3
"Contreras, William",661388,2024,679,20.5,11.5,".269",".471",".359",".358",".356",29,10,49.5,"103.875480043","96.642602527",27.8,47.4
"Burger, Jake",669394,2024,579,25.9,5.4,".256",".476",".325",".338",".307",32.4,12.3,46.8,"103.619986856","96.171144407",30.1,52.4
"Langford, Wyatt",694671,2024,557,20.6,9.2,".257",".427",".321",".331",".330",31.3,9.3,43.4,"101.211098854","94.807365599",22.9,42.8
"Thomas, Lane",657041,2024,528,25.9,8.3,".242",".377",".309",".307",".315",31.5,7.4,40.6,"100.376555353","94.3557595",23.3,43.8
"Díaz, Yandy",650490,2024,621,15.3,8.1,".277",".423",".331",".336",".340",28.4,7.6,48.7,"103.441830979","96.263007825",14.2,43.9
"Devers, Rafael",646240,2024,601,24.5,11.1,".272",".509",".364",".364",".355",35.2,13,52.6,"104.597925864","97.090537461",30.9,50.9
"Verdugo, Alex",657077,2024,621,15,7.9,".250",".373",".283",".302",".309",31.6,5.6,34.9,"98.009613263","93.0881338",15.5,44.7
"Goldschmidt, Paul",502671,2024,654,26.5,7.2,".255",".450",".310",".329",".311",34.3,10.7,49.6,"101.892583709","95.666428146",27.4,47.7
"Turner, Trea",607208,2024,539,18.2,5,".264",".419",".349",".318",".309",30.9,6.9,40.7,"99.706063382","94.073107543",26.1,53.7
"Arenado, Nolan",571448,2024,635,14.5,6.9,".255",".356",".314",".296",".312",35.9,3.2,31.6,"96.924147927","92.483246402",17.2,46.8
"Busch, Michael",683737,2024,567,28.6,11.1,".217",".418",".336",".319",".309",36.4,11.2,39.9,"99.992212321","94.35127744",28.4,45.2
"Marte, Ketel",606466,2024,583,18.2,11.1,".294",".538",".391",".392",".378",33.7,12.3,53.8,"103.991137178","96.920444406",21.3,48.2
"De La Cruz, Elly",682829,2024,696,31.3,9.9,".240",".428",".349",".328",".322",35.7,12.7,45.7,"102.95535404","95.90272362",33.4,43.4
"Garcia, Maikel",672580,2024,626,16.5,6.7,".260",".366",".270",".300",".310",34.1,3.7,42.8,"100.050927426","94.39492241",15.7,43.4
"Cowser, Colton",681297,2024,561,30.7,9.3,".230",".437",".331",".326",".312",32.1,13.6,46.1,"101.838992303","95.374243739",30.4,44.5
"Abrams, CJ",682928,2024,602,21.3,6.6,".247",".409",".322",".319",".318",33,6.9,40.7,"99.496479615","93.910198048",24.7,53.3
"Profar, Jurickson",595777,2024,668,15.1,11.4,".282",".444",".365",".364",".383",31.3,7.2,44.4,"100.952441293","94.862553707",17,45.6
"Keith, Colt",690993,2024,556,19.8,6.5,".266",".393",".301",".311",".316",34.6,5.6,35.3,"98.472613627","93.330372181",23.2,48.6
"Arcia, Orlando",606115,2024,602,21.3,6.8,".206",".323",".273",".261",".263",29.9,5.3,37.8,"98.41985743","93.283896472",26.6,49.1
"Harper, Bryce",547180,2024,631,21.9,12,".267",".474",".380",".357",".358",36.1,10.6,48.2,"102.531835097","95.63882949",26.7,52.9
"Ward, Taylor",621493,2024,663,24.6,9.5,".251",".458",".325",".344",".331",41.9,13,42.4,"100.017751581","94.464585641",25.5,43.2
"Perez, Salvador",521692,2024,652,19.8,6.7,".275",".522",".335",".360",".334",39.4,12.2,44.8,"101.856275647","95.341857371",27.8,57.8
"García, Adolis",666969,2024,637,27.8,7.1,".227",".413",".296",".306",".289",33.7,12.5,48.2,"101.827676765","95.435631691",34.3,52.1
"Olson, Matt",621566,2024,685,24.8,10.4,".247",".448",".339",".341",".336",35.4,12.4,47.4,"102.726279537","95.899543218",26.3,49.7
"Gurriel Jr., Lourdes",666971,2024,553,18.3,5.2,".267",".421",".327",".319",".312",33.8,6.7,40,"99.549348469","93.921850288",20.2,51.1
"Varsho, Daulton",662139,2024,513,26.7,9.4,".186",".316",".304",".261",".268",30.2,6.2,34,"98.537583503","93.276618121",27,47.6
"Schwarber, Kyle",656941,2024,692,28.5,15.3,".256",".512",".366",".380",".374",31.8,15.6,55.5,"105.154527813","97.529843438",32,39.9
"Semien, Marcus",543760,2024,718,14.6,8.9,".251",".391",".306",".313",".321",33,6.6,35.2,"97.806210919","93.005121934",20.2,50
"Volpe, Anthony",683011,2024,689,22.6,6.1,".238",".332",".287",".278",".291",33.3,3.9,35.4,"98.177841555","93.206482989",22.6,48.1
"Alonso, Pete",624413,2024,695,24.7,10.1,".242",".461",".340",".343",".332",30.5,13.2,46.4,"102.785114727","95.699086105",24.7,42.9
